file_a,file_b,label,clone_type,error,string_exact_match,string_similarity_ratio,jaccard_similarity,tfidf_cosine_similarity,markov_similarity,kl_divergence_a_to_b,kl_divergence_b_to_a,lexical_statistical_score,ast_node_type_jaccard,ast_sequence_similarity,ast_node_count_similarity,ast_depth_similarity,tree_edit_distance,tree_edit_similarity,apted_available,apted_tree_edit_distance,apted_tree_edit_similarity,structural_score,semantic_runnable,semantic_reason,semantic_function_a,semantic_function_b,semantic_tested_arity,semantic_total_cases,semantic_both_return_count,semantic_matching_return_count,semantic_successful_overlap,semantic_output_similarity,semantic_score,embedding_model,embedding_feature_count,embedding_cosine_similarity,embedding_score
submission113.py,submission115.py,1,0,,False,0.8070907194994786,1.0,0.9999999999999999,1.0,0.0,0.0,0.9999999999999998,1.0,1.0,1.0,1.0,0,1.0,no,,,1.0,si,ok,create_connection,create_connection,1,10,0,0,0.0,0.0,0.25,tfidf,20,1.0000000000000004,1.0000000000000004
submission117.py,submission118.py,1,3,,False,0.8913773796192609,0.75,0.9980285430297287,0.9523406654407938,0.03392524766583279,0.5540418899087107,0.8694381640282681,0.8571428571428571,0.9230769230769231,0.8870967741935484,0.8571428571428572,12,0.8064516129032258,no,,,0.8629120879120878,no,missing_function,,,,0,0,0,0.0,0.0,0.0,tfidf,12,0.9980285430297285,0.9980285430297285
submission117.py,submission119.py,1,4,,False,0.8068965517241379,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,1.0,no,,,1.0,no,missing_function,,,,0,0,0,0.0,0.0,0.0,tfidf,9,1.0000000000000002,1.0000000000000002
submission118.py,submission120.py,1,4,,False,0.8725602755453502,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,1.0,no,,,1.0,no,missing_function,,,,0,0,0,0.0,0.0,0.0,tfidf,12,1.0,1.0
submission122.py,submission123.py,1,3,,False,0.8161668839634941,0.96,0.9985786630255841,0.9793940083103636,0.0181013782274075,0.1045219989418148,0.9718984547790673,0.782608695652174,0.8680851063829788,0.7669172932330828,1.0,31,0.7669172932330828,no,,,0.8186557976810667,si,ok,add_device,add_device,4,1,0,0,0.0,0.0,0.25,tfidf,26,0.9984214682759512,0.9984214682759512
submission122.py,submission124.py,1,3,,False,0.7092391304347826,0.96,0.9974841984828019,0.9967704986902137,0.011666514796608499,0.10509963729288319,0.9755668555767719,1.0,0.9357798165137615,0.8793103448275862,1.0,14,0.8793103448275862,no,,,0.9296346093008542,no,incompatible_function_arity,add_device,add_device,,0,0,0,0.0,0.0,0.0,tfidf,26,0.9971358135704758,0.9971358135704758
submission123.py,submission125.py,1,3,,False,0.6417112299465241,0.96,0.9987157121428235,0.9883141514720462,0.10784697483771659,0.019079368796453763,0.9733423545486761,0.782608695652174,0.9057971014492754,0.9300699300699301,1.0,26,0.8181818181818181,no,,,0.8679360494577886,si,ok,add_device,add_device,4,1,0,0,0.0,0.0,0.25,tfidf,26,0.9987605973236617,0.9987605973236617
submission127.py,submission128.py,1,3,,False,0.7932303164091243,1.0,0.999129280519405,0.9853312799043663,0.007432366493885859,0.0079124881674863,0.9952822382573161,1.0,0.8869565217391304,0.796875,1.0,26,0.796875,no,,,0.8803328804347825,si,ok,add_book,add_book,4,1,0,0,0.0,0.0,0.25,tfidf,25,0.9990113187800107,0.9990113187800107
submission128.py,submission129.py,1,3,,False,0.6244284781188766,0.96,0.9986270420620601,0.9921668032963714,0.018267791539083717,0.10569527495549913,0.9743486651721305,0.782608695652174,0.9195402298850575,0.9624060150375939,1.0,23,0.8270676691729324,no,,,0.8788879996092179,si,ok,add_book,add_book,4,1,0,0,0.0,0.0,0.25,tfidf,26,0.9986409215283588,0.9986409215283588
submission129.py,submission130.py,1,3,,False,0.5811863391252247,0.96,0.9987157121428235,0.9883141514720462,0.10784697483771659,0.019079368796453763,0.9733423545486761,0.782608695652174,0.9057971014492754,0.9300699300699301,1.0,26,0.8181818181818181,no,,,0.8679360494577886,si,ok,add_book,add_book,4,1,0,0,0.0,0.0,0.25,tfidf,26,0.9987605973236617,0.9987605973236617
submission132.py,submission133.py,1,1,,True,1.0,1.0,1.0000000000000002,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,1.0,no,,,1.0,si,ok,create_excel,create_excel,1,10,0,0,0.0,0.0,0.25,tfidf,25,1.0000000000000002,1.0000000000000002
submission133.py,submission134.py,1,4,,False,0.24773413897280966,0.5454545454545454,0.85714088911806,0.9169941268432839,3.945204501589381,0.9482686029159171,0.6622033584945343,0.75,0.6495726495726496,0.625,0.875,51,0.29166666666666663,no,,,0.5811431623931624,si,ok,create_excel,read_excel,1,10,0,0,0.0,0.0,0.25,tfidf,27,0.8508636920813073,0.8508636920813073
submission132.py,submission135.py,1,2,,False,0.8193384223918575,0.9047619047619048,0.9980086882142645,1.0,0.20828330932786704,0.20828330932786704,0.9363552718334136,1.0,1.0,1.0,1.0,0,1.0,no,,,1.0,si,ok,create_excel,create_excel_different_data,1,10,0,0,0.0,0.0,0.25,tfidf,27,0.9960530878484175,0.9960530878484175
submission137.py,submission138.py,1,3,,False,0.6287519747235387,0.95,0.9975547760116704,0.988251209574739,0.02172990753689613,0.1688408483229205,0.9645174872829336,1.0,0.7538461538461538,0.6049382716049383,1.0,32,0.6049382716049383,no,,,0.7606837606837608,si,ok,print_numbers,print_numbers,0,1,0,0,0.0,0.0,0.25,tfidf,21,0.9975333942215534,0.9975333942215534
submission138.py,submission139.py,1,3,,False,0.31865284974093266,0.8181818181818182,0.9795298476253448,0.9696377651959884,0.3987638747949246,1.0909753611948885,0.8478627975451918,0.9,0.8152866242038217,0.9382716049382716,1.0,30,0.6296296296296297,no,,,0.813451285680585,no,incompatible_function_arity,print_numbers,print_numbers,,0,0,0,0.0,0.0,0.0,tfidf,22,0.9788069777024411,0.9788069777024411
submission137.py,submission140.py,1,3,,False,0.7257731958762886,1.0,0.996153902821019,0.9748531230674088,0.009182070357351956,0.01006042317067627,0.9919108833576301,1.0,0.9514563106796117,0.9074074074074074,1.0,5,0.9074074074074074,no,,,0.9461974110032362,si,ok,print_numbers,print_numbers,0,1,0,0,0.0,0.0,0.25,tfidf,20,0.9961544225358294,0.9961544225358294
submission139.py,submission150.py,1,2,,False,0.4339622641509434,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,1.0,no,,,1.0,si,ok,print_numbers,display_count,2,7,0,0,0.0,0.0,0.25,tfidf,19,1.0000000000000002,1.0000000000000002
submission142.py,submission143.py,1,3,,False,0.593103448275862,0.9473684210526315,0.9879322182807306,0.984403436699355,0.04867290909019845,0.32265698226041295,0.9461525971323841,1.0,0.825,0.7021276595744681,0.8888888888888888,14,0.7021276595744681,no,,,0.8110963356973996,si,ok,check_cpu_usage,check_system_usage,0,1,0,0,0.0,0.0,0.25,tfidf,20,0.9876329870298894,0.9876329870298894
submission143.py,submission144.py,1,3,,False,0.693069306930693,0.95,0.9958772980199879,0.9909177458358759,0.021628878486517476,0.2239739109101529,0.9600726306003491,1.0,0.8623853211009175,0.7580645161290323,1.0,15,0.7580645161290323,no,,,0.8567253625332939,si,ok,check_system_usage,check_full_system_usage,0,1,0,0,0.0,0.0,0.25,tfidf,21,0.9958238370080346,0.9958238370080346
submission143.py,submission145.py,1,3,,False,0.693069306930693,0.95,0.9958772980199879,0.9909177458358759,0.021628878486517476,0.2239739109101529,0.9600726306003491,1.0,0.8623853211009175,0.7580645161290323,1.0,15,0.7580645161290323,no,,,0.8567253625332939,si,ok,check_system_usage,check_full_system_usage,0,1,0,0,0.0,0.0,0.25,tfidf,21,0.9958238370080346,0.9958238370080346
submission147.py,submission148.py,1,2,,False,0.45924082140634725,1.0,1.0000000000000002,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,1.0,no,,,1.0,si,ok,load_data,read_csv,1,10,0,0,0.0,0.0,0.25,tfidf,17,1.0000000000000002,1.0000000000000002
submission148.py,submission149.py,1,1,,True,1.0,1.0,1.0000000000000002,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,1.0,no,,,1.0,si,ok,read_csv,read_csv,1,10,0,0,0.0,0.0,0.25,tfidf,17,1.0000000000000002,1.0000000000000002
submission131.py,submission151.py,1,2,,False,0.216,0.7241379310344828,0.9983298470774401,1.0,0.4235728326631744,0.4235728326631744,0.8572319158880175,1.0,1.0,1.0,1.0,0,1.0,no,,,1.0,si,ok,add_book,add_publication,5,1,0,0,0.0,0.0,0.25,tfidf,30,0.998372504785265,0.998372504785265
submission119.py,submission152.py,1,2,,False,0.43797195253505933,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,1.0,no,,,1.0,no,missing_function,,,,0,0,0,0.0,0.0,0.0,tfidf,9,1.0000000000000002,1.0000000000000002
submission130.py,submission153.py,1,2,,False,0.12748597654258031,0.7777777777777778,0.9991725694298969,1.0,0.2590659647342104,0.2590659647342104,0.8919330165051795,1.0,1.0,1.0,1.0,0,1.0,no,,,1.0,si,ok,add_book,insert_publication,4,1,0,0,0.0,0.0,0.25,tfidf,28,0.9991818228554064,0.9991818228554064
submission142.py,submission154.py,1,2,,False,0.36318407960199006,0.8947368421052632,0.991258638050712,1.0,0.44801513446381536,0.44801513446381536,0.9039187473798684,1.0,1.0,1.0,1.0,0,1.0,no,,,1.0,si,ok,check_cpu_usage,monitor_cpu_utilization,0,1,0,0,0.0,0.0,0.25,tfidf,21,0.9870115479687096,0.9870115479687096
submission145.py,submission155.py,1,2,,False,0.5782493368700266,0.7391304347826086,0.9922730530229865,1.0,0.6811877432214221,0.6811877432214221,0.8383845593737022,1.0,1.0,1.0,1.0,0,1.0,no,,,1.0,si,ok,check_full_system_usage,monitor_system_utilization,0,1,0,0,0.0,0.0,0.25,tfidf,22,0.9772595420067393,0.9772595420067393
